run,seed,feature,gain,gain_share
2,44,registration_init_time,7.750184535980225,0.0034422876649208723
3,45,pre_total_secs,9.82889175415039,0.006486509024763654
3,45,pre_n_days,24.476245880126953,0.016152928912533473
3,45,pre_rate,6.542110443115234,0.004317420467302282
3,45,pre_list_price,6.71245813369751,0.00442984024564026
3,45,pre_amount_paid,19.42522621154785,0.01281954347254608
3,45,payment_plan_days,17.68189239501953,0.011669042397049793
3,45,payment_method_id,33.57254409790039,0.022155967907912986
3,45,is_auto_renew,981.7409057617188,0.6478931098731475
3,45,is_cancel,152.79086303710938,0.10083327162221926
3,45,n_hist_txns,12.33206844329834,0.008138463140331152
3,45,mean_hist_price,9.00373649597168,0.005941953528285909
3,45,median_hist_paid,8.061153411865234,0.005319902351553368
3,45,cancel_rate,23.950571060180664,0.01580601345665486
3,45,auto_renew_rate,16.034366607666016,0.010581769166709575
3,45,mode_pay_method,9.951083183288574,0.006567148411957934
3,45,tenure_days,10.423644065856934,0.006879011692803976
3,45,recency_days,39.065185546875,0.025780798582594116
3,45,has_hist_txn,0.0,0.0
3,45,n_prior_renewals,18.141408920288086,0.011972297144658941
3,45,n_prior_cancels,8.819440841674805,0.005820328887917211
3,45,n_prior_autorenew,36.7220458984375,0.02423445980340739
3,45,prior_renewal_rate,18.182144165039062,0.011999180087244161
3,45,obs_secs_per_active_day,5.146151065826416,0.003396166746590197
3,45,recent_vs_life_ratio,18.811336517333984,0.012414411221491816
3,45,city,6.205053806304932,0.0040949822747559745
3,45,bd,4.4248199462890625,0.002920129271180401
3,45,gender,3.9731287956237793,0.002622038825331402
3,45,registered_via,5.083083629608154,0.0033545458289495366
3,45,registration_init_time,8.18065357208252,0.005398765654466721
4,46,pre_total_secs,11.868597984313965,0.0038100832318286645
4,46,pre_n_days,29.258718490600586,0.00939269767610014
4,46,pre_rate,6.978156566619873,0.002240143053012026
4,46,pre_list_price,10.855742454528809,0.003484934138785016
4,46,pre_amount_paid,22.46942138671875,0.00721318270006076
4,46,payment_plan_days,24.209354400634766,0.007771739794132702
4,46,payment_method_id,45.982215881347656,0.014761311312708955
4,46,is_auto_renew,2446.4912109375,0.7853779487626625
4,46,is_cancel,223.07688903808594,0.07161262985365525
4,46,n_hist_txns,16.746593475341797,0.005376027992099797
4,46,mean_hist_price,9.599257469177246,0.003081574586118426
4,46,median_hist_paid,9.642598152160645,0.0030954879067742686
4,46,cancel_rate,29.43238639831543,0.00944844892691895
4,46,auto_renew_rate,18.639753341674805,0.0059837743047998744
4,46,mode_pay_method,11.691291809082031,0.0037531640164298703
4,46,tenure_days,11.16512680053711,0.0035842533768681013
4,46,recency_days,48.69345474243164,0.015631679130015678
4,46,has_hist_txn,0.0,0.0
4,46,n_prior_renewals,18.497875213623047,0.005938228278439585
4,46,n_prior_cancels,11.208690643310547,0.003598238336766858
4,46,n_prior_autorenew,34.208045959472656,0.010981541583603044
4,46,prior_renewal_rate,18.24591827392578,0.0058573445116836325
4,46,obs_secs_per_active_day,5.515021324157715,0.0017704441837293737
4,46,recent_vs_life_ratio,19.695297241210938,0.006322627311481617
4,46,city,6.459717273712158,0.002073712539547889
4,46,bd,4.99829626083374,0.001604563975988048
4,46,gender,4.592238426208496,0.0014742104035692137
4,46,registered_via,6.226324558258057,0.001998788300580667
4,46,registration_init_time,8.601336479187012,0.0027612198116390182
